,neighborhood_overview
280,"['about', 'the', ""'hood:"", 'short', 'to', 'wallingford', 'and', 'fremont', 'main', 'drags', 'with', 'out-of-this-world', 'dining', 'and', 'drinking', 'options.', 'check', 'out', 'lake', 'union,', 'gasworks', 'park,', 'the', 'burke-gillman', 'trail,', 'woodland', 'park', 'zoo,', 'green', 'lake,', 'university', 'of', 'washington,', 'the', 'fremont', 'troll,', 'and', 'more...', 'all', 'within', 'distance.', 'i', 'have', 'a', 'full', 'guide', 'for', 'all', 'the', 'hot', 'spots', 'in', 'that', 'i', 'provide', 'each', 'guest.']"
282,"['this', 'apartment', 'is', 'nestled', 'on', 'the', 'border', 'of', ""seattle's"", 'trendy', 'and', 'popular', 'fremont/wallingford', 'neighborhoods.', 'known', 'as', 'the', ""'center"", 'of', 'the', ""universe',"", ""it's"", 'close', 'to', 'downtown', 'while', 'offering', 'much', 'to', 'explore', 'locally.', 'just', 'a', 'six', 'minute', 'to', ""seattle's"", 'woodland', 'park', 'zoo.', 'close', 'to', 'the', 'famous', 'fremont', 'troll,', ""theo's"", 'chocolate', 'factory,', 'the', 'burke', 'gilman', 'biking', 'trail,', 'the', 'greenlake', 'trail,', 'gasworks', 'park,', 'as', 'well', 'as', 'dozens', 'of', 'wonderful', 'restaurants', 'and', 'funky', 'local', 'shops.', 'parking', 'is', 'provided,', 'but', 'there', 'is', 'no', 'need', 'for', 'a', 'car', 'in', 'this', 'location.', 'fremont', 'is', 'home', 'to', 'a', 'renowned', ""farmer's"", 'market', 'as', 'well', 'as', 'many', 'festivals,', 'including', 'the', 'fremont', 'solstice', 'festival', 'and', 'parade', 'and', 'oktoberfest.']"
284,"['our', 'is', 'a', 'favorite!', 'extremely', 'walkable,', 'close', 'to', 'parks,', 'and', 'tasty', 'restaurants.']"
285,"['wallingford', 'is', 'a', 'fantastic', 'for', 'kids', 'and', 'adults', 'alike', 'with', 'the', 'proximity', 'of', 'meridian', 'park', 'and', 'greenlake', 'as', 'well', 'as', 'the', 'restaurants', 'and', 'cafes', 'of', 'tangletown.']"
286,"[""we've"", 'lived', 'here', 'for', '13', 'years', 'and', 'love', 'the', 'house', 'and', 'wallingford', 'neighborhood.', 'in', 'addition', 'to', 'being', 'just', 'a', 'few', 'blocks', 'from', 'almost', 'any', 'amenity', 'you', 'might', 'want,', ""we're"", 'a', ""stone's"", 'throw', 'from', 'a', 'large', 'park', 'and', 'playground,', 'and', 'have', 'friendly,', 'helpful', 'neighbors.', 'wallingford', 'is', 'a', 'quiet', ""that's"", 'home', 'to', 'a', 'mix', 'of', 'newer', 'families,', 'students', 'and', 'longtime', 'residents.']"
287,"[""it's"", 'a', 'quiet', 'block', 'but', 'a', 'short', 'away', 'are', 'more', 'amazing', 'bars,', 'restaurants,', 'music', 'venues,', 'and', 'parks', 'than', 'you', 'can', 'shake', 'a', 'stick', 'at!']"
288,"['we', 'are', 'in', 'the', 'middle', 'of', 'a', 'great', 'area:', 'the', 'uw,', 'the', 'shops', 'and', 'cafes', 'of', 'wallingford,', 'and', 'swimming', 'or', 'around', 'green', 'lake.', 'for', 'those', 'in', 'search', 'of', 'nightlife,', 'downtown', 'and', 'are', 'a', '15', 'minute', 'drive', 'away.']"
289,"['we', 'love', 'the', 'walkability', 'of', 'the', 'neighborhood.', 'whether', 'or', 'running', 'around', 'the', '3', 'mile', 'loop', 'at', 'green', 'lake,', 'relaxing', 'at', ""zooka's"", 'coffee', 'house', 'with', 'a', 'book', 'and', 'a', 'latte', 'or', 'heading', 'eight', 'blocks', 'into', 'vibrant', 'wallingford,', 'your', 'cottage', 'stay', 'promises', 'to', 'be', 'full', 'of', 'adventure,', 'restful', 'moments', 'to', 'savor', 'and', 'daily', 'immersion', 'into', '""foodie', 'heaven"".']"
290,"['***green', 'lake', '/', 'wallingford***', 'is', 'the', 'best', 'in', 'seattle!', 'green', 'lake', 'is', ""seattle's"", 'most', 'beloved', 'park.', 'its', 'expanse', 'of', 'water', 'and', 'green', 'space', 'in', 'the', 'center', 'of', 'a', 'dense', 'urban', 'draws', 'thousands', 'of', 'people', 'daily', 'from', 'all', 'over', 'the', 'city.', 'the', 'park', 'serves', 'as', 'a', 'natural', 'preserve', 'for', 'hundreds', 'of', 'species', 'of', 'trees', 'and', 'plants,', 'as', 'well', 'as', 'numerous', 'birds', 'and', 'waterfowl.', 'the', 'newly', 'reconstructed', '2.8-mile', 'path', 'around', 'the', 'lake', 'provides', 'a', 'perfect', 'recreational', 'spot', 'for', 'runners,', 'bikers,', 'skaters', 'and', 'walkers.', 'many', 'others', 'use', 'the', 'athletic', 'fields', 'or', 'visit', 'the', 'park', 'for', 'boating,', 'picnics', 'and', 'swimming.', 'green', 'lake', 'boat', 'rental', 'offers', 'paddle', 'boards,', 'kayaks,', 'canoes,', 'pedal', '&', 'row', 'boats', 'and', 'sailboats.', 'your', 'children', 'can', 'enjoy', 'the', 'several', 'playgrounds', 'near', 'the', 'cottage,', 'one', 'of', 'which', 'is', 'just', '2', 'blocks', 'away.', 'on', 'a', 'hot', 'day,', 'head', 'over', 'to', 'the', 'wading', 'pool', 'or', 'beach', 'at', 'green', 'lake.', 'the', 'cottage', 'is', 'a', 'ten-minute', 'to', 'several', 'restaurants:', '*', 'tangletown', 'zoka', 'coffee', 'shop', '--', 'a', 'great', 'spot', 'for', 'hanging', 'out', '*', 'hiroki', 'specialty', 'des']"
291,"['everything', 'you', 'might', 'need', 'is', 'within', 'distance,', 'unique', 'shops,', 'grocery', 'shopping', 'nearby', '(trader', ""joe's,"", 'whole', 'foods,', 'qfc),', 'great', 'parks,', 'several', 'movie', 'theaters', '(guild', '45th,', 'sundance,', 'varsity)', 'live', 'music', '(seamonster', 'lounge,', 'neptune', 'theater),', 'on', 'street', 'parking']"
292,"['amazing', 'location', '-', 'right', 'next', 'to', 'green', 'lake', 'with', 'many', 'amenities:', 'biking,', 'jogging,', 'inline', 'skating,', 'kayaking,', 'sailing,', 'tennis,', '9', 'short-hole', 'golf,', 'swimming,', 'basketball,', 'sculling,', 'or', 'just', 'sitting', 'an', 'enjoying', 'the', 'scenery.']"
293,"['wallingford', 'terrace', 'is', 'located', 'just', '4', 'blocks', 'from', 'gasworks', 'park,', 'in', 'the', 'heart', 'of', 'the', 'quiet', 'wallingford', 'neighborhood.', 'strolling', 'through', 'the', 'neighborhood,', 'you', 'will', 'find', 'friendly', 'neighbors,', 'children', 'playing,', 'people', 'gardening.', 'our', 'is', 'known', 'for', 'its', 'beautiful', 'homes,', 'breath-taking', 'landscaping,', 'garden', 'arts', 'and', 'sculptures,', 'and', 'sidewalk', 'swings', 'and', 'lending', 'libraries.', 'there', 'is', 'no', 'need', 'for', 'a', 'car,', 'but', 'if', 'you', 'choose', 'to', 'bring', 'one,', 'we', 'can', 'offer', 'a', 'dedicated', 'parking', 'spot', 'upon', 'request.', 'please', 'visit', 'our', 'website', 'at', '(url', 'hidden)', 'and', 'explore', 'the', 'menu', 'along', 'the', 'top', 'of', 'the', 'site', 'to', 'see', 'in', 'detail', 'what', 'wallingford', 'terrace', 'and', 'the', 'surrounding', 'area', 'has', 'to', 'offer.']"
294,"['best', 'in', 'seattle.', 'at', 'least', 'we', 'think', 'so!', 'walk,', 'jog,', 'roller', 'blade', 'or', 'bike', 'around', 'the', 'lake.', 'visit', 'the', 'zoo,', 'join', 'in', 'a', 'pick', 'up', 'game', 'of', 'basketball,', 'soccer', 'or', 'ultimate', 'at', 'the', 'woodland', 'park', 'or', 'green', 'lake', 'playfields.', 'stroll', 'the', 'and', 'take', 'in', 'the', '100', 'year', 'old', 'craftsman-style', 'houses,', 'enjoy', 'a', 'coffee', 'at', 'one', 'of', 'the', 'locally-owned', 'cafes,', 'grab', 'a', 'beer', 'and', 'a', 'bite', 'at', 'a', 'pub,', 'or', 'a', 'meal', 'at', 'one', 'of', 'the', 'many', 'fine', 'restaurants', 'around', 'green', 'lake,', 'tangletown,', 'or', 'wallingford.']"
295,"['the', 'house', 'is', 'located', 'in', 'the', 'middle', 'of', 'the', 'charming', 'wallingford', 'and', 'is', 'within', 'easy', 'distance', 'of', 'a', 'grocery', 'store,', 'myriad', 'restaurants,', 'cafes', 'and', 'other', 'services,', 'and', 'is', 'also', 'near', 'gas', 'works', 'park,', 'the', 'burke-gilman', 'trail,', 'green', 'lake,', 'the', 'woodland', 'park', 'zoo,', 'and', 'the', 'university', 'of', 'washington.']"
296,"['we', 'love', 'that', 'it', 'is', 'friendly,', 'funky,', 'quintessential', 'seattle,', 'and', 'close', 'to', 'lake', 'union,', 'university', 'of', 'washington,', 'fremont,', 'just', 'a', 'bus', 'ride', 'to', 'downtown,', 'and', 'center.', 'other', 'close', 'neighborhoods', 'are', 'ballard,', 'university', 'district,', 'green', 'lake,', 'and', 'a', 'quick', 'uber', 'ride', 'to', 'capital', 'hill.', 'it', 'is', 'very', 'centrally', 'located,', 'and', 'has', 'personality.']"
297,"['wallingford', 'is', 'a', 'central,', 'walkable', 'neighborhood.', 'we', 'have', 'wonderful', 'restaurants,', 'activities,', 'and', 'easy', 'transportation.', 'there', 'are', 'grocery', 'stores,', 'the', 'woodland', 'park', 'zoo,', 'greenlake', 'park,', 'gas', 'works', 'park,', 'and', 'several', 'award-winning', 'restaurants', 'within', 'a', 'short', 'walk.', 'it', 'is', 'just', '5', 'miles', 'from', 'downtown', 'and', 'distance', 'to', 'the', 'wonderful', 'neighborhoods', 'of', 'fremont,', 'ballard,', 'university', 'district,', 'and', 'greenlake.']"
298,"['wallingford', 'is', 'known', 'as', 'the', 'golden', 'triangle', 'with', 'its', 'easy', 'access', 'to', 'ballard,', 'capital', 'hill,', 'and', 'downtown.', 'bike', '/', 'trail', 'to', 'u.w', 'campus', 'close', 'by.', 'distance', 'to', 'restaurants', ',', 'grocery', 'and', 'gas', 'works', 'park.']"
299,"['this', 'vintage', 'restored', '1907', 'home', 'is', 'in', 'the', 'heart', 'of', 'the', 'wallingford', 'community.', 'voted', 'best', 'in', 'seattle.', 'to:', 'green', 'lake-', 'rent', 'bikes,', 'kayaks', '&', '3mi', 'trail.', 'woodland', 'park', 'zoo-a', 'must', 'see', 'lake', 'union-', 'restaurants,', 'sailing', '&', 'bicycle', 'rentals', 'excellent', 'views.', 'u-district', 'u', 'of', 'w', 'u-village-luxury', 'shopping', '2', 'blocks', 'to', 'grocery', 'shopping,', 'bartells,', 'coffee', '&', 'cafes,', '2', 'vintage', 'movie', 'theaters,', 'banking,', 'wine', 'bars,', 'ethnic', '&', 'american', 'restaurants.', 'to', 'bus-', 'be', 'in', 'dt', 'in', '12-20', 'mins', 'pioneer', 'square', 'pike', 'place', 'market', 'art', 'museum', 'waterfront', 'aquarium', 'ferries', '&', 'giant', 'ferris', 'wheel', 'sodo', 'district', 'chinatown', 'mariners', '&', 'seahawks', 'stadiums']"
300,"['our', 'house', 'is', 'just', 'under', 'a', 'mile', 'from', 'green', 'lake', 'park!', '(about', '20', 'minute', 'walk)', 'seattleites', 'and', 'tourists', 'alike', 'flock', 'to', 'green', 'lake', 'to', 'either', 'run,', 'walk,', 'skate', 'or', 'bike', 'around', 'the', '2.8', 'mile', 'paved', 'path.', 'green', 'lake', 'also', 'offers', 'tennis', 'courts,', 'basket', 'ball', 'hoops,', 'swings', 'and', 'slides', 'for', 'the', 'kiddos', 'and', 'paddle', 'boat', 'rentals', 'as', 'well', 'as', 'a', 'indoor', 'pool.', 'during', 'the', 'summer', 'months', 'there', 'are', '2', 'swim', 'beaches,', 'all', 'patrolled', 'by', 'lifeguards.', 'a', 'short', 'mile', 'to', 'the', 'south,', 'is', 'the', 'wallingford', 'district.', 'wallingford', 'is', 'home', 'to', 'quirky', 'bars', 'with', 'a', 'fun', 'night', 'life,', 'homemade', 'ice', 'cream', 'at', 'molly', ""moon's,"", 'restaurants', '&', 'coffee', 'shops.', 'one', 'mile', 'east', 'you', 'will', 'find', 'yourself', 'on', 'university', 'avenue,', 'or', '""the', 'ave"".', 'home', 'of', 'the', 'university', 'of', 'washington', 'as', 'well', 'as', 'vintage', 'shops,', 'cheap', 'eats', 'and', 'great', 'people', 'watching!', 'the', 'husky', 'stadium', 'is', 'also', 'very', 'close', 'if', 'you', 'are', 'visiting', 'for', 'a', 'game.', 'less', 'than', 'a', '2', 'miles', 'west', 'of', 'the', 'house', 'is', 'the', 'woodland', 'park', 'zoo', 'in', 'the', 'phinney', 'ridge', 'of', 'seattle.', 'the', 'woodland', 'park', 'zoo', 'is', 'the', '2']"
302,"['great', 'neighborhood!', 'close', 'to', 'lake', 'union,', 'greenlake,', 'fremont,', 'and', 'the', 'famous', 'molly', 'moons!', ""•there's"", 'a', 'walgreens', 'pharmacy', '(not', '24hrs)', 'on', 'stone', 'and', '45-', 'there', 'you', 'will', 'find', 'toiletries,', 'small', 'food', 'items', 'and', 'anything', 'else', 'you', 'may', 'need.', ""•there's"", 'a', 'qfc', 'on', '45th', 'street', '(great', 'supermarket)—you', 'can', 'north', 'on', 'stone', 'way,', 'make', 'a', 'right', 'on', '45th', 'and', ""it'll"", 'be', 'on', 'your', 'left', 'side', '(about', '3-4', 'blocks)', ""•there's"", 'a', 'bunch', 'of', 'restaurants', 'and', 'dessert', 'places', 'on', '45th', 'street.', 'most', 'locations', 'close', 'around', '9:30pm.', '•greenlake', 'is', 'located', 'north', 'on', 'stone', 'way.', 'it', 'has', 'a', '2.75', 'mile', 'paved', 'loop.', 'great', 'for', 'running,', 'walking,', 'picnics', 'and', 'people', 'watching', '•lake', 'union', 'is', 'located', 'south', 'on', 'stone', 'way', '(about', '10', 'blocks).', 'nearby', 'is', 'the', 'popular', 'and', 'bustling', 'fremont', 'neighborhood.', 'there', 'are', 'a', 'few', 'great', 'restaurants', 'and', 'bars', 'along', 'the', 'way', 'to', 'lake', 'union', 'and', 'several', 'in', 'fremont.', ""•there's"", 'a', 'bus', 'on', 'stone', 'way', 'that', 'will', 'take', 'you', 'downtown.', ""there's"", 'a', 'bus', 'on', '45th', 'that', 'will', 'take', 'you', 'to', 'ballard', 'or', 'university', 'district.']"
303,"['woodlawn', 'is', '3', 'blocks', 'away', 'from', ""seattle's"", 'treasured', 'green', 'lake', 'with', 'biking,', 'boating,', 'jogging,', 'tennis,', 'basketball,', 'inline', 'skating,', '9-hole', 'short', 'course']"
304,"['the', 'place', 'is', 'right', 'between', 'wallingford', 'and', 'fremont.', '0.5', 'miles', 'to', 'gasworks', 'park,', 'coffee', 'shops', 'and', 'restaurants', 'and', 'bars', 'within', 'blocks.', 'the', 'famous', 'troll', 'is', 'just', 'distance', 'as', 'well.', 'really', 'close', 'to', ""fremont's"", 'downtown', 'area.', 'buslines', '2', 'blocks', 'away.']"
305,"['wallingford', 'is', 'a', 'cozy', 'pocket', 'of', 'located', 'directly', 'north', 'of', 'lake', 'union,', 'with', 'eccentric', 'fremont', 'and', 'ballard', 'to', 'the', 'west', 'and', 'the', 'university', 'district', 'about', '1', 'mile', 'to', 'the', 'east.', '45th', 'ave', 'has', 'plenty', 'of', 'top-ranked', 'restaurants,', 'boutiques', 'and', 'ice', 'cream', 'shops.', 'try', 'yoroshiku', 'for', 'some', 'delicious', 'and', 'authentic', 'ramen', 'noodles,', 'perfect', 'for', 'a', 'fall', 'day.']"
306,"['established,', 'safe,', 'very', 'quiet,', 'family-friendly', 'and', 'very', 'walk-able', 'neighborhood,', 'where', 'you', 'will', 'be', 'one', 'block', 'away', 'from', 'great', 'restaurants', '(burgers,', 'cafés,', 'diners,', 'sushi,', 'thai,', 'indian,', 'italian,', 'pizza,', 'turkish,', 'afghani,', 'tacos,', 'fusion,', 'vegetarian', '&', 'northwest', 'cuisine),', 'bars,', 'shopping,', 'grocery', 'stores,', 'movie', 'theaters,', 'parks,', 'bike', 'and', 'trails', 'and', 'lake', 'union', '&', 'green', 'lake.', 'it', 'is', '10-minute', 'drive', 'from', 'downtown,', 'space', 'needle', 'and', '4', 'minutes', 'from', 'university', 'of', 'washington.', 'one', 'block', 'away', 'from', 'the', 'bus-stop,', 'direct', 'busses', 'to', 'downtown', '(20min),', 'space', 'needle', '(10', 'min),', 'uw', '(5', 'min)', 'and', 'ballard', '(5', 'min).']"
307,"['the', 'house', 'is', 'within', 'one', 'block', 'of', 'the', 'main', 'commercial', 'street', 'in', 'wallingford.', 'you', 'can', 'to', '-', 'molly', 'moos', 'for', 'ice', 'cream.', '-', 'many', 'good', 'restaurants', '-', 'wallingford', 'playground,', 'meridian', 'park', 'and', 'green', 'lake.', '-', 'the', 'landmark', '45th', 'guild', 'theater.', '-', 'local', 'bars', 'like', 'the', 'octopus', 'bar,', 'the', 'iron', 'bull', 'and', 'the', 'sea', 'monster', 'lounge.', 'ballard,', 'fremont', 'and', 'u', 'district', 'are', 'also', 'convenient.']"
308,"['green', 'lake!', 'i', ""can't"", 'say', 'enough', 'about', 'how', 'nice', 'it', 'is.', 'runners', 'dream.', 'distance', 'to', 'wallingford', 'and', 'green', 'lake', 'neighborhood.', 'great', 'restaurants!']"
309,"['wallingford', 'is', 'one', 'of', ""seattle's"", 'many', 'great', 'neighborhoods.', 'the', 'area', 'is', 'centrally', 'located', '(about', '4', 'miles', 'from', 'downtown),', 'but', 'is', 'relatively', 'quiet', 'with', 'mostly', 'single', 'family', 'housing', '(making', 'parking', 'easier', 'than', 'other', 'areas).', 'the', 'is', 'very', 'walkable', 'with', 'access', 'to', 'grocery', 'store,', 'bars,', 'restaurants,', 'movies,', 'parks', 'and', 'anything', 'else', 'you', 'could', 'possibly', 'want.', 'while', 'there', 'are', 'several', 'bars', 'that', 'stay', 'open', 'late,', 'other', 'night', 'life', 'and', 'food', 'access', 'after', '10pm', 'is', 'someone', 'limited.']"
310,"['our', 'street', 'has', 'a', 'caring,', 'welcoming', 'group', 'of', 'neighbors', 'of', 'all', 'ages', '-', 'retirees,', 'young', 'working', 'professionals,', 'families', 'and', 'empty', 'nesters.']"
311,"['this', 'area', 'is', 'right', 'on', 'the', 'strip', 'of', 'downtown', 'wallingford', 'so', 'you', 'will', 'have', 'access', 'to', 'great', 'bars,', 'cafes,', 'grocery', 'stores,', 'book', 'stores,', 'etc.', 'it', 'is', 'also', 'next', 'to', 'the', 'university', 'of', 'washington,', 'so', 'there', 'are', 'lots', 'of', 'students', 'if', 'you', 'venture', 'there.', ""it's"", 'a', 'gorgeous', 'location', 'with', 'great', 'access', 'to', 'i-5,', 'buses...everything!']"
312,"['i', 'love', 'the', 'wallingford', 'neighborhood.', 'our', 'has', 'one', 'of', 'the', 'highest', 'walkability', 'rates', 'of', 'any', 'part', 'of', 'seattle.', 'you', 'can', 'to', 'dozens', 'of', 'amazing', 'restaurants', '(tilth,', '4649', '(yoroshiku),', ""julia's,"", 'cantinetta,', 'westward,', ""mushashi's,"", 'rocking', 'wok,', 'bizzaro,', 'tigerly', 'ox,', 'burgundian,', 'tnt', 'tacquerie,', 'and', 'mr.', ""gyro's),"", 'to', 'name', 'some', 'of', 'my', 'favorites),', 'a', 'couple', 'of', 'great', 'bars/restaurants', '(the', 'octopus', 'bar,', 'the', 'sea', 'monster)', 'and', 'trophy', 'cupcakes,', 'fuel', 'coffee,', 'and,', 'of', 'course,', 'starbucks).', 'green', 'lake', 'and', 'the', 'burke', 'gilman', 'trail', 'are', 'both', 'not', 'far.']"
313,"['nothing', 'says', 'city', 'living', 'like', 'green', 'lake.', 'the', 'beginning', 'of', 'the', 'park', 'is', 'literally', 'across', 'the', 'street', 'from', 'our', 'apartment,', 'making', 'it', 'the', 'perfect', 'early', 'morning', 'jog', 'or', 'sunset', 'stroll', 'around', 'the', 'gorgeous', 'lake.', 'you', 'can', 'rent', 'water', 'crafts', '(kayaks,', 'stand-up', 'paddle', 'boards,', 'rowboats)', 'and', 'bikes.', 'there', 'are', 'swimming', 'beaches,', 'basketball', 'courts,', 'playgrounds,', 'and', 'more!', 'also', 'only', 'a', 'short', 'away', 'in', 'phinney', 'ridge', 'is', 'the', 'woodland', 'park', 'zoo.', 'we', 'are', 'within', 'distance', 'from', 'tons', 'of', 'great', 'restaurants,', 'local', 'coffee', 'shops,', 'and', 'bars.', 'a', 'few', 'of', 'our', 'favorites', 'right', 'up', 'the', 'street', 'from', 'the', 'apartment', 'include', ""leny's"", '(perfect', 'for', 'watching', 'football),', 'zoka', 'coffee,', 'mighty', 'o', 'donuts,', 'and', 'elysian', 'tangletown.']"
314,"['our', 'apartment', 'is', 'in', 'wallingford', 'which', 'is', 'one', 'of', 'the', 'old', 'hip,', 'artsy', 'neighborhoods', 'in', 'seattle.', 'it', 'is', 'a', 'five', 'to', 'ten', 'minute', 'at', 'most', 'to', 'the', 'university', 'of', 'washington,', 'bars,', 'restaurants,', 'grocery', 'stores,', 'gasworks', 'park,', 'and', 'other', 'shops', 'and', 'galleries.']"
315,"['wallingford', 'is', 'a', 'mostly-residential', 'neighborhood,', 'situated', 'between', 'the', 'restaurants,', 'bars', 'and', 'nightlife', 'of', 'fremont', 'or', 'ballard,', 'and', 'the', 'buzzing,', 'academic', 'university', 'district.']"
317,"['in', 'the', 'early', ""1900's"", 'had', 'a', 'thriving', 'streetcar', 'system', 'that', 'serviced', 'the', 'entire', 'city.', 'tangletown', 'was', 'the', 'major', 'transfer', 'point', 'for', 'the', 'streetcar', 'system', 'with', 'all', 'roads', 'leading', 'to', 'the', 'area.', 'today', 'those', 'disjointed', 'roads', 'meet', 'in', 'a', 'vibrant', 'community', 'that', 'has', 'a', 'lake,', 'great', 'parks,', 'excellent', 'food,', 'locally', 'brewed', 'beer,', 'fantastic', 'coffee,', 'organic', 'donuts', 'and', 'much', 'more.']"
319,"['located', 'on', 'lake', 'union', '2', 'minutes', 'from', 'gas', 'works', 'park', 'overlooking', 'downtown', '&', 'space', 'needle', 'in', 'gated', 'moorage', 'facility.', 'free', 'parking', 'available', 'on', 'site.', 'fabulous', 'views', 'of', 'downtown', 'and', 'the', 'space', 'needle.', 'the', 'area', 'is', 'safe', 'and', 'pedestrian', 'friendly', 'located', 'right', 'by', 'the', 'burke-gilman', 'trail.']"
